timestamp,sport,game_id,game,side,market,bets_pct,money_pct,open_line,current_line,injury_news,key_number_note,dk_start_iso
2025-12-31T04:24:47.968115+00:00,nfl,32225607,CAR Panthers @ TB Buccaneers,TB Buccaneers,splits,44,37,,TB Buccaneers @ -142,,,
2025-12-31T04:24:47.968115+00:00,nfl,32225607,CAR Panthers @ TB Buccaneers,CAR Panthers,splits,56,63,,CAR Panthers @ +120,,,
2025-12-31T04:24:47.968115+00:00,nfl,32225607,CAR Panthers @ TB Buccaneers,TB Buccaneers -2.5,splits,45,31,,TB Buccaneers -2.5 @ -118,,,
2025-12-31T04:24:47.968115+00:00,nfl,32225607,CAR Panthers @ TB Buccaneers,CAR Panthers +2.5,splits,55,69,,CAR Panthers +2.5 @ -102,,,
2025-12-31T04:24:47.968115+00:00,nfl,32225607,CAR Panthers @ TB Buccaneers,Over 43.5,splits,69,32,,Over 43.5 @ -115,,,
2025-12-31T04:24:47.968115+00:00,nfl,32225607,CAR Panthers @ TB Buccaneers,Under 43.5,splits,31,68,,Under 43.5 @ -105,,,
2025-12-31T04:24:47.968115+00:00,nfl,32225620,SEA Seahawks @ SF 49ers,SF 49ers,splits,70,70,,SF 49ers @ +100,,,
2025-12-31T04:24:47.968115+00:00,nfl,32225620,SEA Seahawks @ SF 49ers,SEA Seahawks,splits,30,30,,SEA Seahawks @ -120,,,
2025-12-31T04:24:47.968115+00:00,nfl,32225620,SEA Seahawks @ SF 49ers,SEA Seahawks -1.5,splits,35,21,,SEA Seahawks -1.5 @ -110,,,
2025-12-31T04:24:47.968115+00:00,nfl,32225620,SEA Seahawks @ SF 49ers,SF 49ers +1.5,splits,65,79,,SF 49ers +1.5 @ -110,,,
2025-12-31T04:24:47.968115+00:00,nfl,32225620,SEA Seahawks @ SF 49ers,Over 49.5,splits,72,78,,Over 49.5 @ -108,,,
2025-12-31T04:24:47.968115+00:00,nfl,32225620,SEA Seahawks @ SF 49ers,Under 49.5,splits,28,22,,Under 49.5 @ -112,,,
2025-12-31T04:24:47.968115+00:00,nfl,32225664,TEN Titans @ JAX Jaguars,JAX Jaguars,splits,88,17,,JAX Jaguars @ -900,,,
2025-12-31T04:24:47.968115+00:00,nfl,32225664,TEN Titans @ JAX Jaguars,TEN Titans,splits,12,83,,TEN Titans @ +600,,,
2025-12-31T04:24:47.968115+00:00,nfl,32225664,TEN Titans @ JAX Jaguars,JAX Jaguars -12.5,splits,57,37,,JAX Jaguars -12.5 @ -108,,,
2025-12-31T04:24:47.968115+00:00,nfl,32225664,TEN Titans @ JAX Jaguars,TEN Titans +12.5,splits,43,63,,TEN Titans +12.5 @ -112,,,
2025-12-31T04:24:47.968115+00:00,nfl,32225664,TEN Titans @ JAX Jaguars,Over 47.5,splits,53,59,,Over 47.5 @ -112,,,
2025-12-31T04:24:47.968115+00:00,nfl,32225664,TEN Titans @ JAX Jaguars,Under 47.5,splits,47,41,,Under 47.5 @ -108,,,
2025-12-31T04:24:47.968115+00:00,nfl,32225622,IND Colts @ HOU Texans,HOU Texans,splits,87,55,,HOU Texans @ -675,,,
2025-12-31T04:24:47.968115+00:00,nfl,32225622,IND Colts @ HOU Texans,IND Colts,splits,13,45,,IND Colts @ +490,,,
2025-12-31T04:24:47.968115+00:00,nfl,32225622,IND Colts @ HOU Texans,HOU Texans -10.5,splits,54,69,,HOU Texans -10.5 @ -108,,,
2025-12-31T04:24:47.968115+00:00,nfl,32225622,IND Colts @ HOU Texans,IND Colts +10.5,splits,46,31,,IND Colts +10.5 @ -112,,,
2025-12-31T04:24:47.968115+00:00,nfl,32225622,IND Colts @ HOU Texans,Over 38.5,splits,61,17,,Over 38.5 @ -118,,,
